Model,n,R2,beta_backlog,se_backlog,p_backlog,beta_growth,se_growth,p_growth
Pooled,40,0.533,0.461,0.058,0.0,1.287,0.224,0.0
Firm FE,40,0.559,0.491,0.271,0.07,1.281,0.27,0.0
Year FE,40,0.701,0.4,0.101,0.0001,0.98,0.286,0.0006
Firm+Year FE,40,0.732,0.405,0.073,0.0,0.896,0.306,0.0035
