test,n,beta_backlog,se,p_HC1
Levels + cash/revenue control,40,0.616,0.174,0.0004
"Changes: d(mult) ~ d(backlog), contemp.",37,0.274,0.161,0.0881
Lead: d(backlog)_t -> d(mult)_{t+1},34,0.296,0.176,0.0919
