end,revenue,rpo,shares,cash,shares_wavg,debt,ticker,ttm_rev,rev_yoy,price,mktcap,ev,ev_sales,ps_ttm,rpo_to_rev,year
2025-04-30,66265000,451900000.0,300267952.0,133471000.0,300267952.0,0.0,PL,249063000.0,0.1965511014806789,3.2899999618530273,987881550.6256866,854410550.6256866,3.4304997154362016,3.9663922406205927,1.8144003725964917,2025
2025-07-31,73386000,690100000.0,304129204.0,181087000.0,304129204.0,0.0,PL,262009000.0,0.21419589675711448,6.25,1900807525.0,1719720525.0,6.563593330763447,7.254741344762966,2.6338789888896947,2025
2025-10-31,81254000,672500000.0,309248247.0,443349000.0,309248247.0,0.0,PL,282171000.0,0.33002684475872446,13.449999809265137,4159388863.165578,3716039863.165578,13.169460586543542,14.740667407939078,2.3833065765085713,2025
2026-04-30,94150000,816000000.0,345524328.0,368090000.0,345524328.0,0.0,PL,315055000.0,0.5367414226487774,36.970001220703125,12774034827.942627,12405944827.942627,39.377076472179866,40.54541215959952,2.5900239640697658,2026
2026-07-31,116052000,753100000.0,359594052.0,415130000.0,359594052.0,0.0,PL,364842000.0,0.7513317739379763,20.479999542236328,7364486020.350906,6949356020.350906,19.047576815034745,20.185411823065618,2.0641812072075036,2026
2024-03-31,3328000,,90331496.0,,90331496.0,0.0,SATL,,,1.7000000476837158,153563547.50734138,,,,,2024
2024-06-30,3501000,,90678183.0,,90678183.0,0.0,SATL,,,1.0399999618530273,94305306.86090183,,,,,2024
2024-09-30,2817000,,91200564.0,,91200564.0,0.0,SATL,,,1.0299999713897705,93936578.31073093,,,,,2024
2025-03-31,3387000,,96655349.0,17716000.0,96655349.0,0.0,SATL,13033000.0,,3.569999933242798,345059589.4775593,327343589.4775593,25.116518796712906,26.47583744936387,,2025
2025-06-30,4440000,,103206882.0,32569000.0,103206882.0,0.0,SATL,14145000.0,0.3341346153846154,3.619999885559082,373608901.0289097,341039901.0289097,24.11027932335876,26.412789044108145,,2025
2025-09-30,3633000,,130984243.0,28288000.0,130984243.0,0.0,SATL,14277000.0,0.037703513281919454,3.2799999713897705,429628313.29251075,401340313.29251075,28.110969621945138,30.092338256812408,,2025
2026-03-31,6107000,,140942287.0,121885000.0,140942287.0,0.0,SATL,17567000.0,1.1679091231806886,5.440000057220459,766726049.3447824,644841049.3447824,36.707522590355914,43.64581598137316,,2026
2026-06-30,15919000,,150594308.0,112809000.0,150594308.0,0.0,SATL,30099000.0,3.700029524653085,5.71999979019165,861399410.1640568,748590410.1640568,24.870939571549115,28.61887139652669,,2026
2020-09-30,7184000,,,,,0.0,SPIR,,,,,,,,,2020
2021-03-31,9716000,,,,,0.0,SPIR,,,80.16000366210938,,,,,,2021
2021-06-30,9113000,,,,,0.0,SPIR,,,79.83999633789062,,,,,,2021
2021-09-30,9561000,49506000.0,67348269.0,245770000.0,67348269.0,0.0,SPIR,35574000.0,,100.23999786376953,6750990340.688576,6505220340.688576,182.86446114264845,189.77315850589127,1.3916343396862878,2021
2022-03-31,18070000,90372000.0,139274538.0,91592000.0,139274538.0,0.0,SPIR,46460000.0,1.5153118040089089,16.799999237060547,2339812132.14196,2248220132.14196,48.390446236374515,50.36186250843651,1.945157124408093,2022
2022-06-30,19395000,125286000.0,139687475.0,72531000.0,139687475.0,0.0,SPIR,56139000.0,0.996191848497324,9.279999732971191,1296299730.69942,1223768730.69942,21.798905051736227,23.090894577734193,2.2317105755357236,2022
2022-09-30,20418000,148166000.0,139942968.0,59443000.0,139942968.0,0.0,SPIR,67444000.0,1.2405354987380663,8.640000343322754,1209107291.5656052,1149664291.5656052,17.0462056160015,17.927573862250238,2.1968744439831562,2022
2023-03-31,24168000,164465000.0,144770908.0,46952000.0,144770908.0,0.0,SPIR,82051000.0,1.527769061813618,5.343999862670898,773655712.4707413,726703712.4707413,8.856731940753205,9.428961407791999,2.004424077707767,2023
2023-06-30,26493000,191866000.0,147751593.0,43144000.0,147751593.0,0.0,SPIR,90474000.0,0.46613171001660203,4.119999885559082,608736546.2511721,565592546.2511721,6.25143738810235,6.728303670128126,2.1206755531976036,2023
2023-09-30,27317000,201603000.0,20756394.0,29936000.0,20756394.0,0.0,SPIR,98396000.0,0.40845578757411705,4.889999866485596,101498763.88872242,71562763.88872242,0.7272934254311397,1.0315334351876337,2.0488942639944714,2023
2024-03-31,25688000,195678000.0,21813045.0,51985000.0,21813045.0,123126000.0,SPIR,103666000.0,0.25810559310412384,12.0,261756540.0,332897540.0,3.2112509405205176,2.5249989388999285,1.8875812706191037,2024
2024-06-30,25399000,189689000.0,24487484.0,23528000.0,24487484.0,4854000.0,SPIR,104897000.0,0.05093512082092033,10.84000015258789,265444330.29649353,246770330.29649353,2.352501313636172,2.530523564034181,1.8083357960666178,2024
2024-09-30,28568000,200117000.0,24921585.0,29061000.0,24921585.0,4910000.0,SPIR,106972000.0,0.078322575774733,9.989999771118164,248966628.44590187,224815628.44590187,2.101630599090434,2.3273999592968426,1.8707418763788655,2024
2025-03-31,23876000,252511000.0,26787097.0,35931000.0,26787097.0,103735000.0,SPIR,103531000.0,-0.1259655159790607,8.09000015258789,216707618.81738663,284511618.8173866,2.7480814327823224,2.0931664797730787,2.43898928823251,2025
2025-06-30,19182000,208880000.0,32093646.0,36114000.0,32093646.0,0.0,SPIR,97025000.0,-0.2532700093428838,11.899999618530273,381914375.15724564,345800375.15724564,3.5640337558077366,3.9362471028832324,2.1528472043287814,2025
2025-09-30,12670000,223113000.0,32501417.0,20312000.0,32501417.0,0.0,SPIR,84296000.0,-0.5011614630497263,10.989999771118164,357190565.391016,336878565.391016,3.9963766417269624,4.2373370668954164,2.6467803929012055,2025
2026-03-31,15834000,184810000.0,33269650.0,16048000.0,33269650.0,0.0,SPIR,71562000.0,-0.4457434892187062,12.579999923706055,418532194.46172714,402484194.46172714,5.624272581282344,5.848525676500477,2.5825158603728235,2026
2026-06-30,18048000,134467000.0,38295060.0,38814000.0,38295060.0,0.0,SPIR,65734000.0,-0.2440944881889764,18.600000381469727,712288130.6084061,673474130.6084061,10.24544574510004,10.835916429981532,2.0456232695408767,2026
